date,value,timeseries_id,dataset_id,value_name
1968-01-31,66.1,K222,DIOP,iop
1968-02-29,66.9,K222,DIOP,iop
1968-03-31,67.4,K222,DIOP,iop
1968-04-30,67.2,K222,DIOP,iop
1968-05-31,67.9,K222,DIOP,iop
1968-06-30,68.0,K222,DIOP,iop
1968-07-31,68.0,K222,DIOP,iop
1968-08-31,68.5,K222,DIOP,iop
1968-09-30,68.4,K222,DIOP,iop
1968-10-31,67.9,K222,DIOP,iop
1968-11-30,68.5,K222,DIOP,iop
1968-12-31,69.1,K222,DIOP,iop
1969-01-31,69.3,K222,DIOP,iop
1969-02-28,69.6,K222,DIOP,iop
1969-03-31,69.6,K222,DIOP,iop
1969-04-30,70.7,K222,DIOP,iop
1969-05-31,70.7,K222,DIOP,iop
1969-06-30,71.1,K222,DIOP,iop
1969-07-31,70.9,K222,DIOP,iop
1969-08-31,69.9,K222,DIOP,iop
1969-09-30,69.9,K222,DIOP,iop
1969-10-31,68.9,K222,DIOP,iop
1969-11-30,70.3,K222,DIOP,iop
1969-12-31,70.9,K222,DIOP,iop
1970-01-31,69.1,K222,DIOP,iop
1970-02-28,70.3,K222,DIOP,iop
1970-03-31,71.1,K222,DIOP,iop
1970-04-30,70.8,K222,DIOP,iop
1970-05-31,70.1,K222,DIOP,iop
1970-06-30,70.3,K222,DIOP,iop
1970-07-31,70.6,K222,DIOP,iop
1970-08-31,70.7,K222,DIOP,iop
1970-09-30,70.3,K222,DIOP,iop
1970-10-31,71.4,K222,DIOP,iop
1970-11-30,70.3,K222,DIOP,iop
1970-12-31,71.0,K222,DIOP,iop
1971-01-31,71.4,K222,DIOP,iop
1971-02-28,70.0,K222,DIOP,iop
1971-03-31,69.2,K222,DIOP,iop
1971-04-30,70.2,K222,DIOP,iop
1971-05-31,70.5,K222,DIOP,iop
1971-06-30,70.3,K222,DIOP,iop
1971-07-31,69.9,K222,DIOP,iop
1971-08-31,70.4,K222,DIOP,iop
1971-09-30,69.8,K222,DIOP,iop
1971-10-31,69.9,K222,DIOP,iop
1971-11-30,69.7,K222,DIOP,iop
1971-12-31,70.2,K222,DIOP,iop
1972-01-31,68.1,K222,DIOP,iop
1972-02-29,62.8,K222,DIOP,iop
1972-03-31,68.9,K222,DIOP,iop
1972-04-30,70.6,K222,DIOP,iop
1972-05-31,72.0,K222,DIOP,iop
1972-06-30,72.4,K222,DIOP,iop
1972-07-31,71.5,K222,DIOP,iop
1972-08-31,72.2,K222,DIOP,iop
1972-09-30,73.3,K222,DIOP,iop
1972-10-31,74.2,K222,DIOP,iop
1972-11-30,74.9,K222,DIOP,iop
1972-12-31,75.4,K222,DIOP,iop
1973-01-31,77.7,K222,DIOP,iop
1973-02-28,77.0,K222,DIOP,iop
1973-03-31,77.8,K222,DIOP,iop
1973-04-30,77.1,K222,DIOP,iop
1973-05-31,77.2,K222,DIOP,iop
1973-06-30,78.6,K222,DIOP,iop
1973-07-31,78.2,K222,DIOP,iop
1973-08-31,78.2,K222,DIOP,iop
